FUNC __main__.main 39.9961 1613493619.7701 40.3438 1613493622.9526 0
CMDLINE C:\Users\bener807\Anaconda3\python.exe .\matmult.py
MEM 1.277344 1613493619.2057
MEM 13.707031 1613493619.3064
MEM 21.535156 1613493619.4072
MEM 27.203125 1613493619.5079
MEM 32.027344 1613493619.6086
MEM 38.218750 1613493619.7093
MEM 40.453125 1613493619.8100
MEM 41.898438 1613493619.9108
MEM 41.960938 1613493620.0115
MEM 42.023438 1613493620.1123
MEM 42.062500 1613493620.2130
MEM 42.148438 1613493620.3137
MEM 42.210938 1613493620.4144
MEM 42.273438 1613493620.5152
MEM 42.324219 1613493620.6159
MEM 42.398438 1613493620.7166
MEM 42.460938 1613493620.8173
MEM 42.523438 1613493620.9181
MEM 42.648438 1613493621.0188
MEM 42.710938 1613493621.1195
MEM 42.718750 1613493621.2203
MEM 42.781250 1613493621.3210
MEM 42.898438 1613493621.4217
MEM 42.960938 1613493621.5225
MEM 43.023438 1613493621.6232
MEM 43.042969 1613493621.7240
MEM 43.148438 1613493621.8247
MEM 43.210938 1613493621.9254
MEM 43.273438 1613493622.0261
MEM 43.308594 1613493622.1268
MEM 43.398438 1613493622.2276
MEM 43.460938 1613493622.3283
MEM 43.523438 1613493622.4290
MEM 43.570312 1613493622.5298
MEM 43.648438 1613493622.6305
MEM 43.710938 1613493622.7312
MEM 43.773438 1613493622.8320
MEM 43.804688 1613493622.9327
